ms,red,ir,ratio,adcAvg,ratioSlope,AI
3428077303,8,17,0.2353,6649,0.0024,40
3428131534,8,17,0.4706,6650,0.0011,40
3428185531,9,19,0.4737,6650,0.0008,40
3428239531,10,18,0.5556,6650,-0.001,45
3428293548,3,18,0.1667,6651,0.0016,45
3428347653,9,18,0.5,6653,0.001,45
3428403819,7,17,0.4118,6650,0.001,45
3428458534,8,20,0.4,6650,-0.0035,40
3428512502,8,17,0.4706,6651,-0.0043,40
3428566534,8,18,0.4444,6652,-0.0046,40
3428621533,5,14,0.3571,6651,-0.0051,40
3428675534,9,18,0.5,6651,-0.0051,40
3428731534,9,24,0.375,6654,-0.0051,40
3428785503,6,23,0.2609,6654,-0.0055,35
3428839534,8,17,0.4706,6652,-0.0055,35
3428893501,8,18,0.4444,6651,-0.0054,35
3428947534,8,17,0.4706,6654,-0.0042,35
3429003502,12,17,0.7059,6655,-0.0015,40
3429057502,8,18,0.4444,6654,-0.0004,40
3429111542,7,17,0.4118,6652,0.0006,40
3429165538,9,19,0.4737,6652,0.0037,40
3429219505,7,19,0.3684,6653,0.0022,40
3429273534,9,19,0.4737,6654,0.0022,40
3429330534,2,13,0.1538,6654,0.0074,40
3429384533,9,19,0.4737,6652,0.0039,40
3429438502,12,22,0.5455,6651,0.0035,40
3429492533,9,19,0.4737,6651,0.0029,40
3429546538,9,18,0.5,6652,0.0023,40
3429602336,8,18,0.4444,6653,0.0024,45
3429657502,9,15,0.6,6654,0.0018,45
3429711502,8,22,0.3636,6662,0.0018,45
3429765534,8,19,0.4211,6652,0.0019,45
3429819502,8,18,0.4444,6651,0.0019,50
3429873533,9,18,0.5,6654,0.0025,50
3429930533,7,18,0.3889,6655,0.0022,55
3429985501,8,17,0.4706,6653,0.0023,55
3430039533,7,19,0.3684,6653,0.0016,50
3430093502,10,18,0.5556,6654,0.0004,50
3430148502,5,14,0.3571,6658,-0.0005,55
3430204336,10,18,0.5556,6660,0.0011,50
3430259535,5,16,0.3125,6661,-0.0009,55
3430315534,10,19,0.5263,6664,0.0013,55
3430372533,9,24,0.375,6668,0.0027,55
3430426503,8,16,0.5,6669,-0.0017,55
3430480504,8,12,0.6667,6668,-0.0039,55
3430537051,8,14,0.5714,6655,-0.0041,55
3430590534,9,17,0.5294,6665,-0.0046,50
3430645534,8,19,0.4211,6668,-0.0041,55
3430699537,9,17,0.5294,6669,-0.0045,55
3430753534,14,19,0.7368,6670,-0.005,55
3430807502,8,18,0.4444,6669,-0.0052,50
3430922533,6,17,0.3529,6669,-0.0042,50
3430976533,4,14,0.2857,6668,-0.0047,50
3431031502,9,19,0.4737,6669,-0.0044,45
3431086502,13,22,0.5909,6667,-0.0037,50
3431142534,8,18,0.4444,6667,-0.0032,50
3431196502,9,13,0.6923,6666,-0.0021,50
3431250538,9,17,0.5294,6663,-0.0004,50
3431304534,13,25,0.52,6665,-0.0008,45
3431358601,11,16,0.6875,6662,0.004,45
3431412534,5,17,0.2941,6657,0.0007,45
3431468533,1,18,0.0556,6655,0.0052,45
3431523502,9,17,0.5294,6653,0.0049,45
3431577533,7,17,0.4118,6653,0.0077,45
3431631533,7,18,0.3889,6650,0.0095,45
3431685533,9,19,0.4737,6648,0.01,45
3431741305,7,18,0.3889,6646,0.0102,45
3431850502,9,18,0.5,6641,0.0145,40
3431904533,13,24,0.5417,6642,0.0142,45
3431958502,7,19,0.3684,6639,0.0132,40
3432012506,8,18,0.4444,6635,0.0133,45
3432069538,8,17,0.4706,6632,0.0137,50
3432124529,7,18,0.3889,6631,0.0134,45
3432178534,6,17,0.3529,6628,0.0121,45
3432232534,8,19,0.4211,6626,0.012,45
3432287534,3,19,0.1579,6624,0.0076,45
3432343336,3,17,0.1765,6621,0.0041,50
3432398534,1,18,0.0556,6615,-0.0011,45
3432452534,8,18,0.4444,6613,-0.0042,45
3432506534,9,20,0.45,6612,-0.002,50
3432560534,7,17,0.4118,6610,-0.0071,50
3432615534,8,18,0.4444,6608,-0.006,50
3432671534,7,18,0.3889,6605,-0.0058,55
3432725534,8,18,0.4444,6600,-0.0063,55
3432780534,12,19,0.6316,6600,-0.0076,55
3432834506,9,14,0.6429,6600,-0.0093,60
3432889533,8,17,0.4706,6599,-0.0124,60
3432945335,7,18,0.3889,6600,-0.012,55
