ms,red,ir,ratio,adcAvg,ratioSlope,AI
138070575,17,36,0.2361,4516,-0.0034,90
138127602,13,37,0.3514,4519,-0.0079,90
138182060,20,27,0.7407,4506,-0.0162,90
138235601,18,36,0.5,4527,-0.0211,85
138289575,12,37,0.3243,4525,-0.0238,80
138343601,17,37,0.4595,4523,-0.0269,80
138400408,15,37,0.4054,4517,-0.029,75
138454615,17,36,0.4722,4515,-0.0308,75
138508601,18,38,0.4737,4516,-0.0319,75
138562605,18,37,0.4865,4516,-0.0322,75
138616605,17,36,0.4722,4513,-0.0319,70
138672605,18,38,0.4737,4507,-0.0308,70
138729607,17,44,0.3864,4503,-0.0294,65
138783605,18,37,0.4865,4503,-0.0268,65
138837575,16,28,0.5714,4501,-0.0229,65
138891605,17,34,0.5,4496,-0.0188,60
138945575,13,32,0.4062,4485,-0.0148,55
138999575,15,36,0.4167,4473,-0.0101,55
139055607,15,34,0.4412,4464,-0.0045,55
139109605,17,39,0.4359,4466,0.0017,55
139163579,20,31,0.6452,4462,-0.0041,50
139217605,18,41,0.439,4473,-0.0052,50
139271605,17,35,0.4857,4463,-0.0024,55
139327605,16,35,0.4571,4456,-0.0019,50
139381575,16,37,0.4324,4448,-0.0028,50
139435605,14,33,0.4242,4447,-0.0026,45
139490605,20,37,0.5405,4450,-0.0033,45
139544602,16,41,0.3902,4450,-0.003,45
139598575,17,37,0.4595,4449,-0.003,45
139655571,19,35,0.5429,4450,-0.003,45
139709571,17,32,0.5312,4441,-0.003,40
139763571,17,36,0.4722,4446,-0.003,40
139817575,23,36,0.6389,4442,-0.002,40
139871576,19,37,0.5135,4442,-0.0019,40
139927377,18,34,0.5294,4439,-0.0022,40
139982575,19,37,0.5135,4439,-0.002,40
140036571,17,38,0.4474,4437,-0.0016,35
140090794,18,37,0.4865,4434,-0.0009,35
140145571,18,38,0.4737,4431,-0.0004,35
140199575,16,37,0.4324,4425,-0.0005,35
140255571,11,32,0.3437,4415,0.0038,40
140309575,18,35,0.5143,4415,0.0029,35
140363575,19,37,0.5135,4415,0.0025,35
140418708,18,36,0.5,4414,0.0021,35
140474672,19,35,0.5429,4415,0.0012,40
140530373,20,38,0.5263,4412,0.0005,40
140585485,19,36,0.5278,4412,0.0006,40
140639575,17,37,0.4595,4412,0.0003,40
140693581,25,33,0.7576,4407,-0.0003,35
140747574,17,37,0.4595,4414,-0.0003,40
140802574,18,37,0.4865,4417,-0.0003,40
140858574,12,39,0.3077,4416,-0.0007,40
140912574,20,38,0.5263,4418,-0.0011,40
140966571,20,38,0.5263,4419,-0.001,45
141020574,18,38,0.4737,4419,-0.0014,45
141074571,18,38,0.4737,4417,-0.0018,45
141128575,19,38,0.5,4416,-0.0012,45
141184574,18,42,0.4286,4416,-0.0019,50
141238571,16,35,0.4571,4411,-0.0021,50
141292571,17,34,0.5,4404,-0.0011,55
141346632,16,34,0.4706,4395,-0.0029,55
141400607,18,36,0.5,4392,-0.0028,60
141456574,20,38,0.5263,4388,-0.0029,60
141511581,19,39,0.4872,4390,-0.0028,60
141565574,12,38,0.3158,4393,-0.0009,60
141619440,18,35,0.5143,4390,-0.0008,60
141673579,22,27,0.8148,4370,-0.0023,60
141727574,18,37,0.4865,4383,-0.0024,60
141784575,16,30,0.5333,4385,-0.0019,60
141838574,18,37,0.4865,4383,-0.002,60
141892571,14,34,0.4118,4382,-0.002,55
141946574,17,37,0.4595,4377,-0.0017,60
142000571,17,36,0.4722,4372,-0.0019,60
142056377,19,36,0.5278,4372,-0.0019,60
142110571,19,37,0.5135,4374,-0.0016,55
142164704,19,36,0.5278,4374,-0.0011,55
142218581,18,35,0.5143,4373,-0.001,55
142272574,20,37,0.5405,4371,0.0003,55
142326581,20,37,0.5405,4374,0.0013,55
142382574,19,37,0.5135,4375,0.0015,55
142438571,9,36,0.25,4373,0.0047,55
