ms,red,ir,ratio,adcAvg,ratioSlope,AI
1449691600,17,42,0.2024,1650,0.0064,50
1449746600,19,43,0.4419,1651,0.0072,50
1449802601,16,42,0.381,1652,0.0077,50
1449857599,18,43,0.4186,1651,0.0089,55
1449911600,18,42,0.4286,1654,0.0074,50
1449965600,19,41,0.4634,1656,0.0059,55
1450022600,17,40,0.425,1649,0.0045,55
1450080600,18,42,0.4286,1651,-0.0033,55
1450135606,8,36,0.2222,1650,-0.0025,60
1450189600,18,41,0.439,1654,-0.0035,55
1450245601,16,40,0.4,1653,-0.0038,50
1450301599,18,41,0.439,1654,-0.0041,55
1450355545,23,48,0.4792,1654,-0.0045,55
1450409599,18,41,0.439,1654,-0.0046,55
1450463927,22,47,0.4681,1656,-0.0045,55
1450517600,19,41,0.4634,1656,-0.0042,50
1450575403,18,41,0.439,1657,-0.0037,45
1450632658,17,48,0.3542,1666,-0.0036,45
1450686606,18,36,0.5,1655,-0.0023,45
1450742555,18,42,0.4286,1654,-0.0014,45
1450798599,16,41,0.3902,1655,0.0005,45
1450852599,17,41,0.4146,1651,0.0002,45
1450908599,19,43,0.4419,1654,0.001,45
1450962599,17,42,0.4048,1654,0.0008,45
1451016545,20,43,0.4651,1658,0.0002,40
1451070599,12,37,0.3243,1658,0.002,45
1451125599,18,43,0.4186,1655,0.0021,45
1451181599,20,44,0.4545,1661,0.0018,45
1451243599,16,41,0.3902,1659,0.0004,45
1451298595,17,39,0.4359,1657,0.0005,45
1451352597,18,40,0.45,1658,0.0002,45
1451406597,16,41,0.3902,1660,0.0004,45
1451460604,18,35,0.5143,1648,0.0003,45
1451516545,17,42,0.4048,1662,0.0003,45
1451572545,22,43,0.5116,1664,0.0004,45
1451627595,17,40,0.425,1665,0.0003,50
1451682545,16,41,0.3902,1661,0.0001,45
1451736597,17,41,0.4146,1660,0.0004,50
1451790597,20,43,0.4651,1663,0.0002,50
1451846597,16,41,0.3902,1665,-0.0001,55
1451900597,18,43,0.4186,1667,0.0001,50
1451954597,16,41,0.3902,1667,-0.0001,50
1452008597,23,51,0.451,1665,0,50
1452063545,20,43,0.4651,1667,0.0008,55
1452120597,17,40,0.425,1668,0.0014,55
1452174545,19,43,0.4419,1669,-0.0001,55
1452228549,18,43,0.4186,1675,-0.0001,55
1452282597,17,41,0.4146,1679,0.0003,50
1452339636,18,41,0.439,1678,-0.0001,50
1452394088,17,30,0.5667,1653,-0.001,50
1452449555,18,42,0.4286,1680,-0.0009,50
1452503601,8,38,0.2105,1678,-0.0002,50
1452557603,16,42,0.381,1675,0.0001,55
1452617595,21,47,0.4468,1676,0.0001,55
1452671600,16,45,0.3556,1685,0,55
1452729597,22,46,0.4783,1678,0.0001,55
1452784545,18,46,0.3913,1688,0.0001,55
1452840596,17,42,0.4048,1679,0,55
1452894619,17,34,0.5,1665,0.0003,55
1452950598,18,42,0.4286,1680,0.0006,50
1453008595,18,43,0.4186,1681,0.0006,50
1453065597,18,41,0.439,1681,0.0011,55
1453119545,17,42,0.4048,1683,0.0005,50
1453176597,18,43,0.4186,1685,-0.0001,50
1453231545,18,42,0.4286,1684,-0.0002,50
1453285597,18,43,0.4186,1684,0.0001,50
1453341597,23,47,0.4894,1685,-0.0007,50
1453395597,18,43,0.4186,1687,-0.0007,50
1453452545,16,39,0.4103,1686,-0.0005,45
1453506596,16,40,0.4,1681,0.0006,45
1453560600,17,42,0.4048,1685,0.0008,45
1453619573,17,42,0.4048,1685,0,45
1453675603,18,42,0.4286,1684,-0.0001,50
1453729609,15,41,0.3659,1683,0,45
1453783603,18,42,0.4286,1683,0,50
1453840612,19,43,0.4419,1682,0,50
1453896545,17,41,0.4146,1684,0.0001,45
1453953545,19,42,0.4524,1683,0.0003,50
1454009597,18,42,0.4286,1684,-0.0002,50
1454066597,17,40,0.425,1683,-0.0002,45
1454121597,19,41,0.4634,1680,0.0002,45
1454175597,17,42,0.4048,1683,-0.0002,50
1454229597,14,40,0.35,1682,-0.0009,45
1454285671,18,44,0.4091,1682,-0.001,45
1454339597,10,41,0.2439,1681,0.0016,50
1454393766,18,44,0.4091,1678,0.0018,50
1454456597,17,42,0.4048,1679,0.0027,50
1454510597,18,42,0.4286,1680,0.0026,50
1454566545,18,42,0.4286,1679,0.0025,55
1454620597,17,42,0.4048,1678,0.0024,55
1454675597,17,39,0.4359,1678,0.0023,50
1454731595,18,41,0.439,1675,0.0021,50
1454785537,17,42,0.4048,1679,0.0022,50
1454839701,17,35,0.4857,1663,0.0021,50
1454895598,17,42,0.4048,1680,0.0021,50
1454952537,23,43,0.5349,1680,0.0023,50
1455007597,15,43,0.3488,1680,0.0021,50
1455062545,10,42,0.2381,1681,0.0009,50
1455116597,17,42,0.4048,1682,0.0008,55
1455175063,19,32,0.5937,1657,0.0022,50
1455228983,17,42,0.4048,1678,0.0016,55
1455282341,19,43,0.4419,1678,0.002,55
