ms,red,ir,ratio,adcAvg,ratioSlope,AI
1172141604,14,46,0.1522,1527,0.0021,50
1172197790,16,47,0.3404,1529,0.003,50
1172251605,20,50,0.4,1529,0.0025,50
1172305546,16,46,0.3478,1530,0.0031,50
1172359546,15,45,0.3333,1531,0.0013,50
1172416968,17,45,0.3778,1528,0.0014,50
1172471375,16,48,0.3333,1529,0.0019,50
1172530611,15,46,0.3261,1528,0.0031,50
1172586546,16,47,0.3404,1529,0.0029,50
1172640607,14,45,0.3111,1528,0.0034,45
1172694542,15,45,0.3333,1528,0.0036,45
1172748605,14,47,0.2979,1530,0.0037,45
1172806407,14,44,0.3182,1527,0.0036,45
1172860542,16,48,0.3333,1530,0.0019,45
1172914605,16,47,0.3404,1530,0.0018,50
1172968604,20,51,0.3922,1531,0.0015,55
1173023604,15,46,0.3261,1531,0.0014,50
1173077605,16,45,0.3556,1534,0.0013,55
1173134604,16,46,0.3478,1533,0.0013,50
1173189604,17,49,0.3469,1537,0.0008,45
1173243604,14,47,0.2979,1536,0.0013,45
1173297605,14,45,0.3111,1535,0.0012,45
1173352605,21,49,0.4286,1534,0.0013,45
1173406542,15,46,0.3261,1534,0.0012,50
1173465605,15,45,0.3333,1534,0.0012,50
1173519605,14,44,0.3182,1533,0.0005,50
1173574604,23,44,0.5227,1521,0.0029,50
1173628605,14,45,0.3111,1531,0.0027,50
1173682604,16,48,0.3333,1533,0.0028,50
1173745599,15,43,0.3488,1529,0.0023,50
1173803039,15,29,0.5172,1502,0.0002,55
1173858118,22,37,0.5946,1515,-0.0027,55
1173911618,16,46,0.3478,1534,-0.0029,50
1173966608,19,47,0.4043,1536,-0.0034,50
1174023410,15,45,0.3333,1534,-0.0033,50
1174079602,4,41,0.0976,1532,-0.0022,50
1174133603,16,46,0.3478,1532,-0.0023,50
1174188603,17,48,0.3542,1530,-0.0023,50
1174243602,15,46,0.3261,1531,-0.0023,55
1174297602,15,47,0.3191,1530,-0.0024,50
1174358602,15,51,0.2941,1539,-0.0024,50
1174413542,16,48,0.3333,1529,-0.0023,50
1174467602,15,45,0.3333,1527,-0.0029,50
1174522602,15,48,0.3125,1530,-0.003,50
1174576602,15,49,0.3061,1531,-0.0033,50
1174636603,16,48,0.3333,1531,-0.0031,50
1174690602,15,48,0.3125,1533,-0.0058,45
1174745603,15,47,0.3191,1530,-0.0057,50
1174799603,16,48,0.3333,1526,-0.0057,50
1174853604,16,47,0.3404,1525,-0.0056,50
1174907542,16,47,0.3404,1525,-0.0036,50
1174963603,15,46,0.3261,1525,-0.001,50
1175018542,22,58,0.3793,1526,-0.0012,50
1175074550,15,49,0.3061,1531,-0.0006,50
1175128602,15,39,0.3846,1525,-0.0008,50
1175182602,15,43,0.3488,1522,-0.0018,45
1175239602,15,46,0.3261,1528,-0.0017,45
1175294603,15,48,0.3125,1529,-0.0017,45
1175348602,16,47,0.3404,1529,-0.0017,45
1175402603,16,47,0.3404,1530,-0.0016,50
1175456402,16,48,0.3333,1531,-0.0015,50
1175510602,6,45,0.1333,1529,-0.0025,45
1175568566,14,45,0.3111,1527,-0.0027,50
1175622617,22,52,0.4231,1527,-0.0018,50
1175677608,15,47,0.3191,1526,-0.0016,50
1175737603,16,47,0.3404,1526,-0.0016,50
1175792604,16,52,0.3077,1536,-0.0016,50
1175848604,14,50,0.28,1525,-0.0022,45
1175902605,22,39,0.5641,1513,-0.0055,40
1175960604,15,45,0.3333,1528,-0.0054,40
1176015602,23,47,0.4894,1527,-0.0071,40
1176069602,15,44,0.3409,1527,-0.0072,40
1176123602,14,45,0.3111,1527,-0.0066,35
1176181603,15,46,0.3261,1528,-0.0068,40
1176237603,21,51,0.4118,1528,-0.0069,40
1176292602,17,48,0.3542,1529,-0.0069,40
1176347603,17,48,0.3542,1531,-0.007,45
1176401602,16,47,0.3404,1533,-0.007,45
1176461602,15,44,0.3409,1531,-0.007,40
1176516602,7,44,0.1591,1524,-0.0074,45
